EHRProductVersion,AttestationID,ProviderID,ProductClassification,PaymentYear,ProviderType,ProgramYear,Specialty,ProductSetting,ProgramType,BusinessState/Territory,VendorName,EHRProductName,AttestationYear,AttestationMonth
9.5,79016,43,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NY,GE Healthcare,Centricity Practice Solution,2012,7
1.3,175196,44,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,IA,Jardogs,Follow My Health,2012,10
11.2,175196,44,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,IA,Allscripts,Allscripts Enterprise EHR,2012,10
Summer 2009,94804,45,Complete EHR,1,EP,2011,CARDIAC SURGERY,Ambulatory,Medicare,IA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,1
5.7,180103,46,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,TX,NextGen Healthcare,NextGen Ambulatory EHR,2012,11
5.6 SP1,180103,46,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,TX,NextGen Healthcare,NextGen Ambulatory EHR,2012,11
2010,55836,47,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OR,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
9.5,42316,48,Complete EHR,1,EP,2012,ENDOCRINOLOGY,Ambulatory,Medicare,NY,GE Healthcare,Centricity EMR,2012,6
5.6 SP1,35683,49,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NY,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
5.6 SP1,27752,49,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,NY,NextGen Healthcare,NextGen Ambulatory EHR,2012,1
1.1.1.4,184847,50,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,CA,First Insight Corp,MaximEyes SQL Electronic Health Records,2012,12
Summer 2009,91986,51,Complete EHR,1,EP,2011,DERMATOLOGY,Ambulatory,Medicare,OH,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,12
11.11,168545,52,Complete EHR,1,EP,2011,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,PA,"athenahealth, Inc",athenaClinicals,2011,12
7,86350,53,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,FL,"ChartLogic, Inc.",ChartLogic EHR,2012,7
1.18.2,184498,54,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,FL,"Falcon, LLC.",Falcon EHR,2012,10
2011.07,160745,55,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,AL,Cerner Corporation,HealthSentry,2012,12
2010.02.03,160745,55,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,AL,Cerner Corporation,Powerchart and Cerner Healthe,2012,12
6.1,160745,55,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,AL,UAB Health System,MyHealth@UABMedicine,2012,12
Summer 2009,90291,56,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,11
1.1,126043,57,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,GA,TactusMD,TactusMD? EHR,2012,12
11.9,146754,58,Complete EHR,1,EP,2011,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,SD,"athenahealth, Inc",athenaClinicals,2011,10
9.5,44006,59,Complete EHR,1,EP,2012,NEUROSURGERY,Ambulatory,Medicare,OH,GE Healthcare,Centricity EMR,2012,11
9,9302,60,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MD,eClinicalWorks LLC,eClinicalWorks,2012,5
2010,48122,61,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,VA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,12
5.1.1,447,62,Complete EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,NY,Sammy Systems,SammyEHR,2012,12
10.3.1,113496,63,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IL,McKesson,Horizon Ambulatory Care,2012,11
Summer 2009,92702,64,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,WA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,12
2011,22869,65,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,ID,"Greenway Medical Technologies, Inc.",PrimeSuite,2013,1
2011,20877,66,Complete EHR,1,EP,2012,PULMONARY DISEASE,Ambulatory,Medicare,WV,"Greenway Medical Technologies, Inc.",PrimeSuite,2012,8
"2012.01.01, P2 Sentinel v4.5.2",188774,67,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,PA,Cerner Corporation,"Powerchart, Cerner Healthe, IQHealth, HealthSentry, and P2 Sentinel",2012,12
version 1.1,188774,67,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,PA,HealthPort,eSmartLog,2012,12
2012.01.05 and P2 Sentinel v. 4.5.2,188774,67,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,PA,Cerner Corporation,"Powerchart, Cerner Healthe, IQHealth, HealthSentry, and P2 Sentinel",2012,12
9.3,172281,68,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,NJ,Allscripts,Allscripts Professional EHR,2012,6
9.5,45293,69,Complete EHR,2,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AL,GE Healthcare,Centricity EMR,2013,1
9.5,39816,69,Complete EHR,1,EP,2011,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AL,GE Healthcare,Centricity EMR,2011,10
5.7,179893,70,Complete EHR,1,EP,2012,HEMATOLOGY/ONCOLOGY,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2012,10
11.2,25556,71,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,NC,Allscripts,Allscripts Enterprise EHR,2012,12
9.2,73866,72,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,WV,Allscripts,Allscripts Professional EHR,2012,4
11.2,24819,73,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,TN,Allscripts,Allscripts Enterprise EHR,2012,10
10,1577,74,Complete EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,IL,Compulink,Advantage/EHR,2012,3
2010,56108,75,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
9.5,78318,76,Complete EHR,1,EP,2011,ORTHOPEDIC SURGERY,Ambulatory,Medicare,MO,GE Healthcare,Centricity Practice Solution,2011,12
10,193285,77,Complete EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MI,Allscripts,Allscripts Professional EHR,2013,1
9.2.2,143948,77,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,MI,Allscripts,Allscripts Professional EHR,2011,10
7.1,141461,78,Complete EHR,2,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,OH,ACOM Health,RAPID,2013,1
7.1,141315,78,Complete EHR,1,EP,2011,CHIROPRACTIC,Ambulatory,Medicare,OH,ACOM Health,RAPID,2012,1
Summer 2009,91741,79,Complete EHR,1,EP,2011,NEUROSURGERY,Ambulatory,Medicare,TX,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,12
Summer 2009,100179,79,Complete EHR,2,EP,2012,NEUROSURGERY,Ambulatory,Medicare,TX,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
5.9,161455,80,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,WI,Marshfield Clinic,Cattails Software Suite,2012,6
2010,48186,81,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,MI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,12
2010,60972,82,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,WI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
2010,61149,83,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,SD,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
Summer 2009,98638,84,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,NY,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
4.13.0,115246,85,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,AZ,"gMed, Inc.",gGastro,2011,12
4.16.2,189380,85,Complete EHR,2,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,AZ,"gMed, Inc.",gGastro,2013,1
11.2,133797,86,Complete EHR,1,EP,2011,GENERAL SURGERY,Ambulatory,Medicare,NC,Allscripts,Allscripts Enterprise EHR,2011,12
2,69157,87,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,TX,BioMedix Vascular Solutions,TRAKnet Practice Management Software,2011,9
10,120332,88,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CA,GE Healthcare,Centricity Practice Solution,2012,6
7.5,77403,89,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,NE,"MedInformatix, Inc",MedInformatix,2012,11
9,14934,90,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AR,eClinicalWorks LLC,eClinicalWorks,2013,1
2,186119,91,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CA,Dignity Health,Dignity Health Ambulatory EHR,2012,12
2010,51546,92,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,FL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,8
11.2,24915,93,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,CA,Allscripts,Allscripts Enterprise EHR,2012,10
2,137833,94,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,VA,Practice Fusion,Practice Fusion,2012,7
Summer 2009,99261,95,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,12
9,116875,96,Complete EHR,1,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,MI,"AllMeds, Inc.",AllMeds EHR,2012,11
13.1,194241,97,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TN,"athenahealth, Inc",athenaClinicals,2013,1
Summer 2009,91068,98,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,OH,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,11
2011.06,160473,99,Modular EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,MN,Cerner Corporation,HealthSentry,2012,12
2010.01.07,160473,99,Modular EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,MN,Cerner Corporation,"Powerchart, Cerner Healthe and IQHealth",2012,12
10,120638,100,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NY,GE Healthcare,Centricity Practice Solution,2012,10
3,77960,101,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OH,"eHealth Made EASY, LLC",eHealth Made EASY,2012,4
9.5,79205,102,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MO,GE Healthcare,Centricity Practice Solution,2012,11
7,171880,103,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,LA,OptumInsight,Optum PM and Physician EMR,2013,1
7.2,150770,104,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,WY,"e-MDs, Inc.",e-MDs Solution Series,2013,1
2010,185236,105,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,PA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
Version 4,185236,105,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,PA,dbMotion Inc.,dbMotion,2013,1
Summer 2009,112759,106,Complete EHR,1,EP,2011,ANESTHESIOLOGY,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,2
2010,112759,106,Complete EHR,1,EP,2011,ANESTHESIOLOGY,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,2
Spring 2008,112759,106,Complete EHR,1,EP,2011,ANESTHESIOLOGY,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,2
Summer 2009,118265,107,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,WA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,9
2010,118265,107,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,WA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,9
2007.19.13,166323,108,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,Cerner Corporation,Powerchart and Cerner Healthe,2013,1
2011.07,166323,108,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
3.4,166323,108,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,"MedSeek, Inc.",eHealth ecoSystem,2013,1
7.6,81237,109,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,MI,Medflow,Medflow E HR,2012,8
11.2,157068,110,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CO,Allscripts,Allscripts Enterprise EHR,2012,6
Summer 2009,97239,111,Complete EHR,1,EP,2012,ORAL SURGERY (DENTIST ONLY),Ambulatory,Medicare,CA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,8
2,138551,112,Complete EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,PA,Practice Fusion,Practice Fusion,2012,10
5.1,167598,113,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,WA,"Integrated Practice Solutions, Inc.",ChiroTouch,2012,10
19.5,66994,114,Complete EHR,1,EP,2012,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,MA,"Community Computer Service, Inc.",MEDENT,2013,1
5.6.4,142884,115,Modular EHR,2,Hospital,2012,N/A,Inpatient,Medicare/Medicaid,WA,MEDITECH,MEDITECH MAGIC HCIS Core Set (Modular),2012,11
5.6.4,142866,115,Modular EHR,1,Hospital,2011,N/A,Inpatient,Medicare/Medicaid,WA,MEDITECH,MEDITECH MAGIC HCIS Core Set (Modular),2011,10
4,142884,115,Complete EHR,2,Hospital,2012,N/A,Inpatient,Medicare/Medicaid,WA,"Health Care Systems, Inc.",HCS eMR,2012,11
4,142866,115,Complete EHR,1,Hospital,2011,N/A,Inpatient,Medicare/Medicaid,WA,"Health Care Systems, Inc.",HCS eMR,2011,10
9,116471,116,Complete EHR,1,EP,2011,OTOLARYNGOLOGY,Ambulatory,Medicare,CA,"AllMeds, Inc.",AllMeds EHR,2011,12
9,116992,116,Complete EHR,2,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,CA,"AllMeds, Inc.",AllMeds EHR,2013,1
9.5,39765,117,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,CA,GE Healthcare,Centricity EMR,2011,9
2010,54969,118,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NV,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
v8.3,186951,119,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,PA,SRSsoft,SRS EHR,2012,10
1.2.0,186951,119,Modular EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,PA,"Universal Research Solutions, LLC",OBERD,2012,10
2010,58184,120,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OR,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,12
9,12594,121,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,TX,eClinicalWorks LLC,eClinicalWorks,2012,11
Summer 2009,89929,122,Complete EHR,1,EP,2011,VASCULAR SURGERY,Ambulatory,Medicare,PA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,11
Summer 2009,94199,123,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,PA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,1
5.5,107674,124,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CA,"Prime Clinical Systems, Inc.",Patient Chart Manager,2012,12
Summer 2009,91499,125,Complete EHR,1,EP,2011,PAIN MANAGEMENT,Ambulatory,Medicare,TX,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,11
Summer 2009,92406,126,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,12
Summer 2009,100172,127,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,PA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
10,120787,128,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,PA,GE Healthcare,Centricity Practice Solution,2012,12
11.2,175405,129,Modular EHR,1,EP,2012,INFECTIOUS DISEASE,Ambulatory,Medicare,IA,Allscripts,Allscripts Enterprise EHR,2012,11
1.3,175405,129,Modular EHR,1,EP,2012,INFECTIOUS DISEASE,Ambulatory,Medicare,IA,Jardogs,Follow My Health,2012,11
6,175828,130,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,WI,IOD Incorporated,PRISM,2012,10
2010,175828,130,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,WI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
11.2,158674,131,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IL,Allscripts,Allscripts Enterprise EHR,2012,12
V7.10,163125,132,Complete EHR,1,EP,2012,GENERAL PRACTICE,Ambulatory,Medicare,NJ,"Vitera Healthcare Solutions, LLC",Vitera Intergy Meaningful Use Edition,2013,1
10,124962,133,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,MI,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2012,12
5.5,101929,134,Complete EHR,1,EP,2012,GERIATRIC MEDICINE,Inpatient,Medicare,WI,Allscripts,Sunrise Acute Care,2013,1
6.1.2,170106,135,Complete EHR,1,EP,2012,PEDIATRIC MEDICINE,Ambulatory,Medicare,NY,"AmazingCharts.com, Inc.",Amazing Charts,2012,6
9.5,43961,136,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,ND,GE Healthcare,Centricity EMR,2012,11
V7.10,162762,137,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,NY,"Vitera Healthcare Solutions, LLC",Vitera Intergy Meaningful Use Edition,2012,11
9.5,44282,138,Complete EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,VA,GE Healthcare,Centricity EMR,2012,11
